ARTICOLO;DESCRIZIONE;Q.TA
11035;BRACCIALE AD ASTRA cm 19;1,00
11038;ORECCHINI AD ASTRA GRANDI;1,00
11037;ORECCHINI BOTTONE AD ASTRA;1,00
11034/14;ANELLO AD ASTRA mis.14;1,00
11032;PENDENTE AD ASTRA cm 80;1,00
11033;COLLANA AD ASTRA DOUBLE cm 42;1,00
09958/16;ANELLO VIA LATTEA GRANDE mis.16;1,00
10661;ORECCHINI CERCHIO CROCODILE;1,00
A08118;COUVETTE PER ANELLI CON PAD;2,00
11120;COLLANA SKIN cm 43;1,00
11056;LONGUETTE BROOKLYN cm 114;1,00
C09408;CATALOGO NOVEMBRE 2020;1,00
A08262;COVER IN VELLUTO LOGATO;1,00
A08261;COUVETTE  A 9 SPAZI;2,00
11115;CHARM DROPS FIOCCO;1,00
11114;CHARM DROPS API;1,00
11113;CHARM DROPS FARFALLE;1,00
11112;CHARM DROPS MARGHERITE;1,00
11111;CHARM DROPS PERLAGE;1,00
11110;PENDENTE DROPS FIOCCO cm 45;1,00
11108;PENDENTE DROPS FARFALLE cm 45;1,00
11107;PENDENTE DROPS MARGHERITE cm 45;1,00
11106;PENDENTE DROPS PERLAGE cm 45;1,00
11105;ORECCHINI DROPS FIOCCO;1,00
11104;ORECCHINI DROPS API;1,00
11132;BRACCIALE FILI;1,00
11124;BRACCIALE SKIN GRANDE cm 19;1,00
11125;BRACCIALE SKIN cm 19;1,00
11121;PENDENTE SKIN cm 80;1,00
11127/16;ANELLO SKIN PICCOLO;1,00
11126/16;ANELLO SKIN;1,00
